local,ubicacion
Teatro Lope de Vega,"C.Gran Vía, 57, 28013 Madrid"
Bajo la Gran Carpa,
Nuevo Teatro Alcalá,"C. de Jorge Juan, 62, 28009 Madrid"
Teatro Rialto,"C.Gran Vía, 54, 28013 Madrid"
WiZink Center,"Av. de Felipe II, s/n, 28009 Madrid"
Sala La Riviera,"P.º Bajo de la Virgen del Puerto, S/N, 28005 Madrid"
Sala La Paqui,"C. de Barceló, 11, Local B, 28004 Madrid"
Palacio Municipal de IFEMA MADRID,"Av. de la Capital de España, 5, 28042 Madrid"
The World Of Hans Zimmer: A New Dimension,
Teatro La Latina,"Pl. de la Cebada, 2, 28005 Madrid"
Sala Siroco,"C. de San Dimas, 3, 28015 Madrid"
Teatro Amaya,"P.º del Gral. Martínez Campos, 9, 28010 Madrid"
Teatro Arlequín Gran Vía,"C. de San Bernardo, 5, 28013 Madrid"
Parque Enrique Tierno Galván,"C. Meneses, 4, 28045 Madrid"
Teatro Maravillas,"C. de Manuela Malasaña, 6, 28004 Madrid"
Aeródromo de Cuatro Vientos,
Teatro Lara - Sala Cándido Lara,"Corre. Baja de San Pablo, 15, 28004 Madrid"
Teatro Muñoz Seca,"Pl. del Carmen, 1, 28013 Madrid"
Teatro EDP Gran Vía,"C.Gran Vía, 66, 28013 Madrid"
Recinto Ferial de IFEMA - Madrid,"Av. del Partenón, 5, 28042 Madrid"
Pica Pica - Bailando,
Teatro Diéguez,"C. del Convento, 5, 28380 Colmenar de Oreja, Madrid"
Teatro Coliseum,"C.Gran Vía, 78, 28013 Madrid"
Sala El Sol,"C. de los Jardines, 3, 28013 Madrid"
Sala Capitol,"C.Gran Vía, 41, 28013 Madrid"
Teatro Reina Victoria,"Cra de S. Jerónimo, 24, 28014 Madrid"
OBK,
Gruta 77,"C. Cuclillo, 6, 28019 Madrid"
Gran Teatro CaixaBank Príncipe Pío,"Cta. de San Vicente, 44, 28008 Madrid"
Cívitas Metropolitano,"Av. de Luis Aragonés, 4, 28022 Madrid"
Sala Villanos,"C. de Bernardino Obregón, 18, 28012 Madrid"
Teatro Bellas Artes,"C. del Marqués de Casa Riera, 2, 28014 Madrid"
Teatro Alcázar,"C. de Alcalá, 20, 28014 Madrid"
Recinto Ferial de IFEMA Madrid,"Av. del Partenón, 5, 28042 Madrid"
Umusic Hotel Teatro Albéniz,"C. de la Paz, 11, 28012 Madrid"
Teatro Infanta Isabel,"C. del Barquillo, 24, 28004 Madrid"
PAX Madrid,"C.Gran Vía, 13, 28013 Madrid"
The Music Station Príncipe Pío,"Cta. de San Vicente, 44, 28008 Madrid"
Sala Shôko,"C. de Toledo, 86, 28005 Madrid"
Pabellón De Cristal Casa De Campo,"Pabellón De Cristal, Avenida Principal, 16, 28011 Madrid"
Teatro Monumental,"C. de Atocha, 65, 28012 Madrid"
