nombre,tipo,local,precio,barrio,lat,long
El Rey León,evento,Teatro Lope de Vega,medio,Palacio,40.4217903,-3.7086754
MAMMA MIA! El Musical,evento,Teatro Rialto,medio,Palacio,40.421301,-3.7072389
Mamma Mía! El Musical,evento,Teatro Rialto,,Palacio,40.421301,-3.7072389
IVÁN FERREIRO,evento,WiZink Center,medio,Goya,40.423930600000006,-3.6742277376233554
CantaJuego - ¡Viva mi Planeta! Me lo contó un pajarito,evento,Palacio Municipal de IFEMA MADRID,bajo,Corralejos,40.461128,-3.6153329
El nombre,evento,Teatro La Latina,bajo,Palacio,40.4115711,-3.708772971526286
Nico B,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
El Crédito - Teatro Arlequín Gran Vía,evento,Teatro Arlequín Gran Vía,bajo,Palacio,40.4211706,-3.7082023
"Naturaleza Encendida ""Insectos"" en Madrid",evento,Parque Enrique Tierno Galván,medio,Legazpi,40.39194595,-3.682049206937865
"Naturaleza Encendida ""Insectos"" Madrid",evento,Parque Enrique Tierno Galván,bajo,Legazpi,40.39194595,-3.682049206937865
Jamming Sessions,evento,Teatro Maravillas,bajo,Universidad,40.4286867,-3.7029629
"""La Golfa"" de Jamming",evento,Teatro Maravillas,bajo,Universidad,40.4286867,-3.7029629
En ocasiones veo a Umberto,evento,Teatro Muñoz Seca,bajo,Sol,40.4183658,-3.7032747
Mayumana - Impulso,evento,Teatro EDP Gran Vía,medio,Palacio,40.4223279,-3.7088585
Mayumana Impulso,evento,Teatro EDP Gran Vía,medio,Palacio,40.4223279,-3.7088585
"CIRCLASSICA , Gran Circo Mundi",evento,Recinto Ferial de IFEMA - Madrid,bajo,Corralejos,40.46749475,-3.619366805586629
Feliz Año Neox presenta El Club de la Comedia,evento,Teatro Diéguez,bajo,No encontrado,40.1080956,-3.3909903
Eugenio solo hay uno,evento,Teatro Coliseum,bajo,Palacio,40.4232626,-3.7103414
Morreo - Alegría Club!,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Faemino y Cansado - 17 veces - Madrid,evento,Sala Capitol,bajo,Sol,40.42038,-3.7064736
Flipar - Jorge Blass,evento,Teatro Reina Victoria,medio,Cortes,40.4165111,-3.6997485
MIGUEL POVEDA,evento,WiZink Center,medio,Goya,40.423930600000006,-3.6742277376233554
Es mi palabra contra la mía,evento,Teatro Reina Victoria,bajo,Cortes,40.4165111,-3.6997485
"Biografía - Rafa Sánchez, de la unión",evento,Teatro Rialto,medio,Palacio,40.421301,-3.7072389
Txarly Usher y Los Ejemplares + Kinki Boys,evento,Gruta 77,bajo,San Isidro,40.3909513,-3.7314889
Rosin De Palo,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
Bestia Bebé,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Destripando la Historia - Loki Tour,evento,WiZink Center,medio,Goya,40.423930600000006,-3.6742277376233554
Grande Amore,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Theo Lawrence & The Possums,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Ricardo Moya,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Sex Museum,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Museo+Tour,evento,Cívitas Metropolitano,bajo,Canillejas,40.4473145,-3.6054987
"Aladdín, el musical",evento,Teatro Coliseum,medio,Palacio,40.4232626,-3.7103414
Queralt Lahoz,evento,Sala Villanos,bajo,Acacias,40.4039493,-3.700223878354424
El Brujo - Los dioses y Dios,evento,Teatro Bellas Artes,bajo,Cortes,40.4181727,-3.6963263
El Brujo – El Lazarillo de Tormes,evento,Teatro Alcázar,bajo,Cortes,40.41762175,-3.698969291763469
El Brujo - El Viaje del Monstruo Fiero,evento,Teatro Bellas Artes,bajo,Cortes,40.4181727,-3.6963263
El Brujo - Autobiografía de un Yogui,evento,Teatro Alcázar,bajo,Cortes,40.41762175,-3.698969291763469
India Martínez,evento,WiZink Center,medio,Goya,40.423930600000006,-3.6742277376233554
"MALINCHE, un musical de Nacho Cano",evento,Recinto Ferial de IFEMA Madrid,bajo,Corralejos,40.46749475,-3.619366805586629
"MALINCHE, un musical de Nacho Cano - *EN INGLÉS*",evento,Recinto Ferial de IFEMA Madrid,bajo,Corralejos,40.46749475,-3.619366805586629
"MALINCHE, un musical de Nacho Cano - Concierto Sinfónico",evento,Recinto Ferial de IFEMA Madrid,,Corralejos,40.46749475,-3.619366805586629
El Fantasma de la Ópera,evento,Umusic Hotel Teatro Albéniz,medio,Sol,40.41541665,-3.70376099971941
Corta el Cable Rojo,evento,Teatro EDP Gran Vía,medio,Palacio,40.4223279,-3.7088585
Harlem Globetrotters Madrid 2024,evento,WiZink Center,bajo,Goya,40.423930600000006,-3.6742277376233554
La ternura,evento,Teatro Infanta Isabel,bajo,Justicia,40.4222263,-3.6955919
La ternura (Matinal con Campaña Escolar),evento,Teatro Infanta Isabel,,Justicia,40.4222263,-3.6955919
"La Bella y la Bestia, el musical",evento,Teatro EDP Gran Vía,bajo,Palacio,40.4223279,-3.7088585
Noa,evento,Teatro La Latina,medio,Palacio,40.4115711,-3.708772971526286
"1, 2, 3... ¡Magia! - Javi Rufo",evento,Teatro EDP Gran Vía,bajo,Palacio,40.4223279,-3.7088585
Magia en juego - Javi Rufo,evento,Teatro EDP Gran Vía,bajo,Palacio,40.4223279,-3.7088585
VÍNCULOS de Javi Rufo,evento,PAX Madrid,alto,Sol,40.4196567,-3.6998135
"La Granja de Zenón – ""El Gran Gallo""",evento,Teatro Lope de Vega,bajo,Palacio,40.4217903,-3.7086754
Disney On Ice Madrid 2024,evento,WiZink Center,bajo,Goya,40.423930600000006,-3.6742277376233554
La Flauta Mágica. Tu primera ópera,evento,Teatro Bellas Artes,bajo,Cortes,40.4181727,-3.6963263
La Flauta Mágica. Tu Primera Ópera,evento,Teatro Bellas Artes,bajo,Cortes,40.4181727,-3.6963263
Rambalaya,evento,Gruta 77,bajo,San Isidro,40.3909513,-3.7314889
Pablo Und Destruktion y La Tribu del Trueno,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Los Blenders,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
Lucas Colman,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Mr. Zoom,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Featherweight + Oslo Ovnies,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
The Magnetics + Begoña Bang Matu,evento,Gruta 77,bajo,San Isidro,40.3909513,-3.7314889
The Oxys,evento,Gruta 77,bajo,San Isidro,40.3909513,-3.7314889
Carmen 113,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Miniño - Post Amor,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
Pedro LaDroga,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Calizo,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Los Álvarez - Aperitivo RnR con Los Álvarez,evento,Gruta 77,bajo,San Isidro,40.3909513,-3.7314889
Austin TV,evento,Sala El Sol,bajo,Sol,40.4189626,-3.7015174
Niños Luchando,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
Tu Suerte,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
Chata Flores,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
Mavica,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
Flecha Valona,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
Julia Amor,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
Pinpilinpussies,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
Bernal,evento,Sala Siroco,bajo,Universidad,40.4269196,-3.7077365
Scary Pockets,evento,Sala Shôko,medio,Palacio,40.40881795,-3.710849741830065
Concierto Sinfónico de Abono B16 (Jueves),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
Concierto Sinfónico de Abono B16 (Viernes),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
Concierto Sinfónico de Abono B18 (Jueves),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
Concierto Sinfónico de Abono A15 (Viernes),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
Concierto Sinfónico de Abono A19 (Viernes),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
Concierto Sinfónico de Abono A15 (Jueves),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
Concierto Sinfónico de Abono B18 (Viernes),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
Concierto Sinfónico de Abono B12 (Viernes),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
Concierto Sinfónico de Abono A13 (Jueves),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
Concierto Sinfónico de Abono A17 (Viernes),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
Concierto Sinfónico de Abono B14 (Jueves),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
Concierto Sinfónico de Abono B8 (Jueves),evento,Teatro Monumental,bajo,Embajadores,40.4124685,-3.6991495
